target,Full-Chain(unbound),Interface(unbound),Non-interface(unbound),Full-Chain(bound),Interface(bound),Non-interface(bound)
8FCC:A_8FCC:B,"[0.8361, 0.4662]","[0.741, 0.2532]","[0.8, 0.5006]","[0.9019, 0.9823]","[0.9242, 0.9229]","[0.8454, 0.9847]"
8PFD:A_8PFD:B,"[0.9671, 0.9808]","[0.8155, 0.8533]","[0.9619, 0.9734]","[0.9866, 0.9828]","[0.9006, 0.9263]","[0.981, 0.975]"
8QUS:D_8QUS:H,"[0.9775, 0.9052]","[0.2907, 0.206]","[0.9874, 0.9415]","[0.9825, 0.8882]","[0.2939, 0.3725]","[0.991, 0.9535]"
8RGI:A_8RGI:B,"[0.9843, 0.8124]","[0.9678, 0.778]","[0.9277, 0.7905]","[0.989, 0.9164]","[0.9769, 0.87]","[0.9444, 0.798]"
8SSP:A_8SSP:B,"[0.9691, 0.9026]","[0.8279, 0.1698]","[0.9796, 0.9361]","[0.9641, 0.9215]","[0.8488, 0.1692]","[0.9723, 0.9431]"
7ZTL:A_7ZTL:B,"[0.9871, 0.6369]","[0.679, 0.6369]",[0.9886],"[0.9845, 0.3764]","[0.8083, 0.3764]",[0.9821]
8VQ3:A_8VQ3:B,"[0.9353, 0.9836]","[0.8185, 0.9686]","[0.9315, 0.9711]","[0.9376, 0.9831]","[0.8486, 0.9691]","[0.9336, 0.9695]"
7SJ3:A_7SJ3:B,"[0.8513, 0.981]","[0.4843, 0.9421]","[0.8906, 0.9716]","[0.9534, 0.9783]","[0.9136, 0.9401]","[0.9204, 0.9724]"
8P81:A_8P81:B,"[0.9409, 0.9848]","[0.6834, 0.3291]","[0.957, 0.9761]","[0.9346, 0.9831]","[0.7418, 0.4004]","[0.9532, 0.9741]"
9DLW:B_9DLW:A,"[0.9717, 0.9971]","[0.197, 0.9639]","[0.9817, 0.9964]","[0.9631, 0.9979]","[0.3014, 0.9661]","[0.9751, 0.9974]"
7RYL:C_7RYL:D,"[0.9474, 0.6386]","[0.9653, 0.4556]","[0.8935, 0.7373]","[0.9485, 0.9738]","[0.9677, 0.9688]","[0.8897, 0.9477]"
7XKY:B_7XKY:A,"[0.9775, 0.9894]","[0.889, 0.9738]","[0.9841, 0.9847]","[0.9906, 0.9916]","[0.9702, 0.9831]","[0.9847, 0.9872]"
8AK1:A_8AK1:B,"[0.9914, 0.9392]","[0.676, 0.8845]","[0.9785, 0.8848]","[0.9916, 0.9024]","[0.6731, 0.8371]","[0.9817, 0.5978]"
8B3S:A_8B3S:Z,"[0.9739, 0.885]","[0.9609, 0.8167]","[0.951, 0.8606]","[0.9373, 0.8928]","[0.9515, 0.8248]","[0.8917, 0.8399]"
8C12:AAA_8C12:BBB,"[0.9762, 0.9494]","[0.8438, 0.4407]","[0.9725, 0.9749]","[0.9756, 0.9866]","[0.8873, 0.6191]","[0.9722, 0.9943]"
8G9Q:A_8G9Q:D,"[0.955, 0.9943]","[0.3339, 0.895]","[0.9835, 0.9923]","[0.9159, 0.9942]","[0.319, 0.804]","[0.9584, 0.9943]"
8GUO:A_8GUO:B,"[0.9873, 0.5588]","[0.9787, 0.5658]","[0.8099, 0.9985]","[0.9855, 0.5779]","[0.9814, 0.5906]","[0.7217, 0.9974]"
8Q5R:A_8Q5R:B,"[0.8925, 0.8985]","[0.7886, 0.6466]","[0.9004, 0.9277]","[0.9051, 0.9332]","[0.8396, 0.7049]","[0.8886, 0.9634]"
8SIU:A_8SIU:B,"[0.978, 0.2594]","[0.9261, 0.2188]",[0.971],"[0.9791, 0.7241]","[0.9714, 0.2656]",[0.9718]
8W6X:L_8W6X:S,"[0.9951, 0.9839]","[0.9823, 0.9539]","[0.9931, 0.9783]","[0.9985, 0.997]","[0.9953, 0.993]","[0.9979, 0.9894]"
8WT0:A_8WT0:B,"[0.9766, 0.4667]","[0.8829, 0.4882]",[0.9766],"[0.9918, 0.9135]","[0.9684, 0.8775]",[0.9841]
9ERW:E_9ERW:B,"[0.9161, 0.9636]","[0.1127, 0.5923]","[0.9677, 0.9571]","[0.9317, 0.9798]","[0.2033, 0.5356]","[0.9605, 0.9743]"
9ERT:A_9ERT:B,"[0.9443, 0.9223]","[0.6186, 0.5424]","[0.9355, 0.956]","[0.9556, 0.9163]","[0.6764, 0.5268]","[0.9454, 0.9648]"
7FDO:A_7FDO:B,"[0.9589, 0.9064]","[0.8918, 0.7374]","[0.9457, 0.7556]","[0.9679, 0.9779]","[0.9444, 0.9585]","[0.9559, 0.8518]"
7UST:B_7UST:A,"[0.9794, 0.9064]","[0.4034, 0.8394]","[0.987, 0.8809]","[0.981, 0.9196]","[0.4026, 0.8446]","[0.9853, 0.8944]"
7YCJ:A_7YCJ:B,"[0.9651, 0.2845]","[0.921, 0.1643]","[0.9566, 0.9231]","[0.943, 0.4099]","[0.8315, 0.1938]","[0.94, 0.9033]"
8AKO:A_8AKO:B,"[0.9496, 0.9668]","[0.7911, 0.7006]","[0.9484, 0.9661]","[0.9453, 0.9684]","[0.877, 0.715]","[0.9382, 0.9695]"
8B4O:B_8B4O:A,"[0.9805, 0.9689]","[0.9392, 0.9219]","[0.9836, 0.9767]","[0.9953, 0.9741]","[0.9913, 0.9531]","[0.9914, 0.9853]"
8C26:A_8C26:B,"[0.9688, 0.3449]","[0.9734, 0.3507]",[0.6764],"[0.9882, 0.9005]","[0.9906, 0.8673]",[0.8281]
8EL7:A_8EL7:B,"[0.7964, 0.9712]","[0.5806, 0.4015]","[0.8768, 0.9537]","[0.8985, 0.9658]","[0.8437, 0.3729]","[0.8843, 0.9452]"
7TH3:A_7TH3:B,"[0.9927, 0.9592]","[0.9205, 0.5186]","[0.992, 0.9772]","[0.9948, 0.9719]","[0.9327, 0.6049]","[0.9943, 0.9814]"
8S5Z:B_8S5Z:A,"[0.9734, 0.9903]","[0.8244, 0.8878]","[0.9697, 0.9885]","[0.9844, 0.9931]","[0.8428, 0.885]","[0.9747, 0.9921]"
8K3A:A_8K3A:B,"[0.9926, 0.9343]","[0.8203, 0.4393]","[0.9909, 0.9721]","[0.9936, 0.9512]","[0.8758, 0.4665]","[0.992, 0.9668]"
7UL2:R_7UL2:D,"[0.9375, 0.9359]","[0.6317, 0.6814]","[0.956, 0.8363]","[0.9614, 0.6276]","[0.5858, 0.5138]","[0.9617, 0.8565]"
7ZMS:A_7ZMS:K,"[0.6864, 0.9157]","[0.763, 0.3743]","[0.6948, 0.9853]","[0.9795, 0.9673]","[0.961, 0.907]","[0.9751, 0.9823]"
7R73:G_7R73:A,"[0.9853, 0.9067]","[0.3762, 0.2104]","[0.9829, 0.987]","[0.9884, 0.8984]","[0.925, 0.2237]","[0.9849, 0.9861]"
7YZ9:A_7YZ9:B,"[0.9472, 0.9699]","[0.4335, 0.9331]","[0.925, 0.9443]","[0.9451, 0.969]","[0.9313, 0.9296]","[0.9196, 0.9478]"
7VFA:D_7VFA:E,"[0.966, 0.9599]","[0.177, 0.6832]","[0.9893, 0.9589]","[0.9911, 0.9685]","[0.724, 0.8735]","[0.9895, 0.9621]"
7F1G:A_7F1G:D,"[0.9847, 0.9748]","[0.9542, 0.8496]","[0.9806, 0.9835]","[0.9848, 0.9898]","[0.9734, 0.9482]","[0.9805, 0.9846]"
7W1S:A_7W1S:B,"[0.9733, 0.9262]","[0.9113, 0.328]","[0.9647, 0.9726]","[0.9455, 0.9646]","[0.8571, 0.4769]","[0.9439, 0.9809]"
8QW4:A_8QW4:B,"[0.9252, 0.8817]","[0.3335, 0.769]","[0.9192, 0.7908]","[0.9264, 0.8942]","[0.3538, 0.8332]","[0.921, 0.7996]"
8IM0:A_8IM0:B,"[0.9963, 0.9898]","[0.7416, 0.8552]","[0.9966, 0.9845]","[0.9966, 0.9885]","[0.744, 0.8516]","[0.9977, 0.9829]"
7OZT:AAA_7OZT:BBB,"[0.9451, 0.9802]","[0.7211, 0.7982]","[0.9783, 0.9611]","[0.9459, 0.9878]","[0.763, 0.9193]","[0.977, 0.9749]"
8UVY:B_8UVY:A,"[0.8969, 0.698]","[0.7302, 0.5538]","[0.95, 0.7225]","[0.9388, 0.9131]","[0.7537, 0.4397]","[0.9564, 0.9253]"
7VKE:A_7VKE:B,"[0.9635, 0.9543]","[0.8196, 0.3925]","[0.9681, 0.9776]","[0.9591, 0.9611]","[0.7549, 0.3769]","[0.9655, 0.99]"
9FZD:A_9FZD:B,"[0.837, 0.9377]","[0.2196, 0.2781]","[0.902, 0.9839]","[0.7961, 0.9368]","[0.235, 0.3317]","[0.8701, 0.9784]"
8H3X:C_8H3X:A,"[0.9601, 0.9517]","[0.8248, 0.4267]","[0.9545, 0.9455]","[0.968, 0.9745]","[0.8466, 0.7617]","[0.9635, 0.9637]"
7WKI:A_7WKI:B,"[0.9061, 0.8994]","[0.1571, 0.6149]","[0.9395, 0.9646]","[0.8893, 0.9124]","[0.1476, 0.6405]","[0.9279, 0.9676]"
8H63:A_8H63:B,"[0.9489, 0.9475]","[0.5048, 0.7622]","[0.9332, 0.9759]","[0.9759, 0.9531]","[0.4435, 0.7683]","[0.9676, 0.9809]"
8YVJ:A_8YVJ:B,"[0.9623, 0.9818]","[0.4082, 0.8995]","[0.958, 0.967]","[0.9786, 0.9632]","[0.5894, 0.8722]","[0.9801, 0.9705]"
7UPM:A_7UPM:B,"[0.975, 0.9733]","[0.7275, 0.8482]","[0.9822, 0.958]","[0.9776, 0.9711]","[0.768, 0.8394]","[0.985, 0.9574]"
8AOK:A_8AOK:B,"[0.9703, 0.9494]","[0.9357, 0.4902]","[0.9363, 0.9754]","[0.9728, 0.9511]","[0.9395, 0.483]","[0.9399, 0.9749]"
7S7R:A_7S7R:B,"[0.9474, 0.8982]","[0.8612, 0.6253]","[0.9516, 0.9578]","[0.9707, 0.896]","[0.8707, 0.607]","[0.9693, 0.9607]"
8E0E:A_8E0E:B,"[0.9272, 0.959]","[0.7789, 0.9224]","[0.9375, 0.9091]","[0.9257, 0.9703]","[0.8053, 0.9416]","[0.9329, 0.9107]"
8E0G:A_8E0G:B,"[0.8789, 0.9224]","[0.5627, 0.779]","[0.9219, 0.9156]","[0.8655, 0.938]","[0.5662, 0.7997]","[0.9037, 0.9243]"
8GBQ:A_8GBQ:B,"[0.9906, 0.938]","[0.3671, 0.6351]","[0.9891, 0.9699]","[0.9962, 0.9611]","[0.375, 0.7705]","[0.9953, 0.9512]"
8GP6:B_8GP6:A,"[0.9481, 0.5427]","[0.8774, 0.4138]","[0.9348, 0.4446]","[0.9661, 0.9273]","[0.923, 0.8929]","[0.9383, 0.8627]"
8J09:A_8J09:B,"[0.9341, 0.936]","[0.7506, 0.6176]","[0.9585, 0.9532]","[0.9587, 0.9402]","[0.866, 0.6271]","[0.9615, 0.96]"
8JI0:B_8JI0:A,"[0.9703, 0.9778]","[0.8122, 0.2589]","[0.965, 0.969]","[0.9514, 0.9453]","[0.8128, 0.3936]","[0.9563, 0.9156]"
8P7L:H_8P7L:J,"[0.502, 0.9833]","[0.3868, 0.9421]",[0.9771],"[0.7408, 0.9844]","[0.6261, 0.952]",[0.9791]
8Q66:A_8Q66:B,"[0.9328, 0.8709]","[0.9082, 0.655]","[0.8915, 0.8629]","[0.9493, 0.978]","[0.9363, 0.9516]","[0.9341, 0.9591]"
8RD3:A_8RD3:B,"[0.9765, 0.7684]","[0.9682, 0.3325]","[0.9704, 0.9835]","[0.9754, 0.9381]","[0.9753, 0.9084]","[0.9681, 0.9681]"
8WT4:A_8WT4:B,"[0.9758, 0.984]","[0.3087, 0.9011]","[0.9705, 0.9784]","[0.9829, 0.9896]","[0.9117, 0.9357]","[0.9726, 0.9873]"
7XLI:A_7XLI:B,"[0.9419, 0.9634]","[0.5673, 0.5855]","[0.9731, 0.9885]","[0.965, 0.966]","[0.7164, 0.6123]","[0.9746, 0.9907]"
8WFH:A_8WFH:E,"[0.9553, 0.5249]","[0.784, 0.5505]","[0.9438, 0.5119]","[0.9649, 0.5237]","[0.8335, 0.5643]","[0.9638, 0.5089]"
8EZM:A_8EZM:H,"[0.9581, 0.9748]","[0.7515, 0.7958]","[0.9433, 0.9887]","[0.9672, 0.9846]","[0.9117, 0.9122]","[0.9466, 0.9895]"
7XQK:A_7XQK:B,"[0.9721, 0.9247]","[0.4057, 0.8455]","[0.9773, 0.97]","[0.9848, 0.9884]","[0.4217, 0.9661]","[0.9759, 0.9886]"
7XQW:A_7XQW:B,"[0.9897, 0.9926]","[0.9596, 0.5679]","[0.988, 0.9944]","[0.9921, 0.993]","[0.9841, 0.5673]","[0.9902, 0.995]"
8YM7:A_8YM7:B,"[0.989, 0.4742]","[0.9403, 0.4601]","[0.9919, 0.8541]","[0.9879, 0.9684]","[0.9871, 0.9636]","[0.992, 0.9235]"
7ENH:A_7ENH:B,"[0.9256, 0.9607]","[0.9224, 0.9096]","[0.89, 0.9612]","[0.9256, 0.9383]","[0.975, 0.8729]","[0.8783, 0.9675]"
7FIW:A_7FIW:B,"[0.9717, 0.9594]","[0.8276, 0.8678]","[0.9696, 0.9575]","[0.9635, 0.9783]","[0.9222, 0.9376]","[0.9559, 0.969]"
7QBO:A_7QBO:P,"[0.9835, 0.9162]","[0.9595, 0.8108]","[0.977, 0.8231]","[0.9847, 0.9569]","[0.9554, 0.9242]","[0.9797, 0.8334]"
7PK4:B_7PK4:A,"[0.9012, 0.9966]","[0.726, 0.9724]","[0.8693, 0.9955]","[0.919, 0.9979]","[0.8057, 0.9769]","[0.8533, 0.9977]"
7TGF:B_7TGF:A,"[0.9304, 0.9926]","[0.6671, 0.9802]","[0.9512, 0.9891]","[0.9682, 0.9935]","[0.847, 0.9861]","[0.9552, 0.9915]"
7V4Y:B_7V4Y:A,"[0.9948, 0.9892]","[0.9679, 0.4543]","[0.9928, 0.9895]","[0.9952, 0.9929]","[0.9721, 0.9576]","[0.9939, 0.9915]"
7XVK:A_7XVK:B,"[0.9335, 0.7614]","[0.5488, 0.781]","[0.9179, 0.7489]","[0.949, 0.7447]","[0.9157, 0.8909]","[0.9396, 0.7372]"
7YLS:A_7YLS:B,"[0.9817, 0.9713]","[0.9057, 0.9064]","[0.989, 0.9673]","[0.9944, 0.9755]","[0.9791, 0.9341]","[0.9939, 0.9715]"
7SJQ:A_7SJQ:D,"[0.9729, 0.4422]","[0.9629, 0.4607]",[0.9552],"[0.9756, 0.924]","[0.9671, 0.7859]",[0.9588]
8C5H:N_8C5H:S,"[0.9705, 0.9802]","[0.1704, 0.905]","[0.9867, 0.9817]","[0.9714, 0.9797]","[0.1738, 0.911]","[0.986, 0.977]"
8CM0:BBB_8CM0:AAA,"[0.9839, 0.9554]","[0.8867, 0.7218]","[0.9741, 0.9778]","[0.989, 0.9662]","[0.9597, 0.8027]","[0.9803, 0.9812]"
8FN8:A_8FN8:B,"[0.9925, 0.9795]","[0.8384, 0.7337]","[0.9911, 0.9688]","[0.9946, 0.9761]","[0.8985, 0.8151]","[0.9934, 0.9567]"
8GZX:A_8GZX:B,"[0.9745, 0.9258]","[0.8483, 0.6472]","[0.9743, 0.9732]","[0.9588, 0.9302]","[0.8184, 0.7013]","[0.9579, 0.9493]"
7MSR:A_7MSR:B,"[0.9912, 0.9522]","[0.9572, 0.8629]","[0.9923, 0.9451]","[0.9948, 0.9739]","[0.9805, 0.8987]","[0.9919, 0.976]"
8S2M:A_8S2M:B,"[0.9858, 0.9625]","[0.9445, 0.8671]","[0.9874, 0.8815]","[0.9856, 0.9874]","[0.957, 0.9706]","[0.9723, 0.9378]"
8ZQ3:A_8ZQ3:B,"[0.9023, 0.9303]","[0.6953, 0.8592]","[0.8933, 0.8812]","[0.928, 0.935]","[0.6633, 0.9343]","[0.9295, 0.8857]"
9BK6:A_9BK6:B,"[0.7913, 0.9441]","[0.7476, 0.8633]","[0.5043, 0.7345]","[0.8266, 0.9099]","[0.7881, 0.8465]","[0.5694, 0.7359]"
7VUO:A_7VUO:C,"[0.3837, 0.5675]","[0.3595, 0.3615]",[0.3857],"[0.9263, 0.9128]","[0.9275, 0.9047]",[0.6422]
7SPP:A_7SPP:C,"[0.9754, 0.9588]","[0.2593, 0.5416]","[0.9818, 0.9766]","[0.9734, 0.9558]","[0.3047, 0.4923]","[0.9822, 0.9754]"
7VV8:A_7VV8:C,"[0.9407, 0.8837]","[0.2836, 0.4718]","[0.9556, 0.8709]","[0.9368, 0.9156]","[0.5803, 0.5668]","[0.9416, 0.8965]"
8T74:A_8T74:B,"[0.9662, 0.9563]","[0.7021, 0.4761]","[0.9919, 0.9503]","[0.9623, 0.9756]","[0.7249, 0.6635]","[0.9685, 0.952]"
7T08:A_7T08:B,"[0.9695, 0.9878]","[0.5973, 0.9593]","[0.9499, 0.9876]","[0.9901, 0.9968]","[0.991, 0.9872]","[0.9745, 0.9969]"
7YUI:A_7YUI:B,"[0.5548, 0.715]","[0.5046, 0.7266]","[0.549, 0.5919]","[0.6464, 0.7576]","[0.6578, 0.7525]","[0.4431, 0.7511]"
8A82:A_8A82:B,"[0.947, 0.791]","[0.8663, 0.6312]","[0.933, 0.9387]","[0.9527, 0.9896]","[0.9403, 0.9792]","[0.9378, 0.9654]"
8BS3:A_8BS3:B,"[0.9652, 0.9663]","[0.8957, 0.9288]","[0.9575, 0.9261]","[0.9829, 0.9857]","[0.9783, 0.9637]","[0.9735, 0.9601]"
8CQZ:A_8CQZ:B,"[0.8686, 0.8673]","[0.9522, 0.8171]","[0.8476, 0.7879]","[0.86, 0.8742]","[0.9371, 0.8129]","[0.8368, 0.7914]"
8EY4:I_8EY4:A,"[0.9687, 0.9628]","[0.8956, 0.9029]","[0.7487, 0.9576]","[0.9678, 0.9513]","[0.9677, 0.8993]","[0.436, 0.959]"
8RO6:A_8RO6:B,"[0.9381, 0.8491]","[0.7883, 0.9646]","[0.9291, 0.3087]","[0.9566, 0.8509]","[0.9528, 0.9765]","[0.9441, 0.2896]"
9DP6:B_9DP6:A,"[0.941, 0.9818]","[0.8039, 0.4728]","[0.8062, 0.9827]","[0.9773, 0.9877]","[0.9363, 0.8742]","[0.8476, 0.9869]"
9GIB:A_9GIB:B,"[0.9804, 0.9598]","[0.9676, 0.9245]","[0.9701, 0.9452]","[0.9258, 0.9758]","[0.8892, 0.9441]","[0.8947, 0.9697]"
8HLM:A_8HLM:B,"[0.9878, 0.9143]","[0.659, 0.5238]","[0.9854, 0.9145]","[0.9903, 0.9158]","[0.7501, 0.5462]","[0.988, 0.9131]"
7MWR:A_7MWR:B,"[0.9555, 0.9821]","[0.7976, 0.8112]","[0.9679, 0.9855]","[0.9594, 0.9852]","[0.8561, 0.8431]","[0.9721, 0.9882]"
7VVB:B_7VVB:A,"[0.9344, 0.9507]","[0.4383, 0.5939]","[0.9272, 0.9633]","[0.9284, 0.9492]","[0.3577, 0.544]","[0.9358, 0.9669]"
7WSF:A_7WSF:B,"[0.9458, 0.9487]","[0.9561, 0.9532]","[0.9437, 0.8977]","[0.9511, 0.9755]","[0.9648, 0.9706]","[0.9487, 0.9536]"
8J5J:A_8J5J:E,"[0.8918, 0.9379]","[0.8557, 0.1964]","[0.8469, 0.9778]","[0.8908, 0.9878]","[0.8869, 0.5985]","[0.8416, 0.9883]"
8A8F:A_8A8F:B,"[0.9956, 0.4275]","[0.3467, 0.4092]",[0.9951],"[0.9975, 0.8484]","[0.9894, 0.8402]",[0.9965]
8DC0:A_8DC0:B,"[0.916, 0.9154]","[0.8349, 0.8538]","[0.8714, 0.9373]","[0.9341, 0.9278]","[0.9615, 0.8319]","[0.889, 0.9257]"
8IJ5:B_8IJ5:E,"[0.9826, 0.9877]","[0.9059, 0.5376]","[0.9768, 0.9839]","[0.9797, 0.9896]","[0.9226, 0.9775]","[0.9716, 0.9856]"
8OWS:A_8OWS:C,"[0.9769, 0.9389]","[0.9693, 0.736]","[0.9139, 0.962]","[0.9825, 0.9547]","[0.9904, 0.8387]","[0.9218, 0.9533]"
8PIJ:A_8PIJ:B,"[0.9098, 0.9381]","[0.6524, 0.269]","[0.8699, 0.9677]","[0.8958, 0.9549]","[0.6347, 0.157]","[0.8496, 0.9663]"
8PW8:A_8PW8:B,"[0.9831, 0.9343]","[0.9618, 0.8874]","[0.9709, 0.9167]","[0.9888, 0.9567]","[0.9927, 0.9768]","[0.9758, 0.9235]"
9AY7:A_9AY7:B,"[0.9629, 0.9861]","[0.8811, 0.8381]","[0.9552, 0.9878]","[0.9789, 0.9895]","[0.8816, 0.8889]","[0.9768, 0.9897]"
7S7M:A_7S7M:B,"[0.9807, 0.9726]","[0.8852, 0.7301]","[0.9769, 0.9765]","[0.9876, 0.9748]","[0.9173, 0.7921]","[0.9812, 0.9749]"
9FW3:A_9FW3:B,"[0.8721, 0.9423]","[0.7726, 0.8745]","[0.8189, 0.9087]","[0.8535, 0.8599]","[0.7586, 0.7653]","[0.8125, 0.826]"
7WIV:A_7WIV:B,"[0.8967, 0.8842]","[0.8367, 0.7721]","[0.8455, 0.8912]","[0.9478, 0.953]","[0.9373, 0.9264]","[0.8986, 0.9109]"
9IZN:B_9IZN:A,"[0.9578, 0.8526]","[0.7376, 0.3838]","[0.9548, 0.8299]","[0.963, 0.7847]","[0.7625, 0.9259]","[0.9599, 0.7518]"
7B55:B_7B55:A,"[0.971, 0.9639]","[0.54, 0.8873]","[0.9731, 0.8391]","[0.9686, 0.9607]","[0.725, 0.8695]","[0.9711, 0.8638]"
7F4P:B_7F4P:A,"[0.931, 0.8631]","[0.8028, 0.4454]","[0.9219, 0.9309]","[0.9544, 0.9598]","[0.9155, 0.9301]","[0.9322, 0.9482]"
7PP2:A_7PP2:B,"[0.9352, 0.747]","[0.741, 0.6863]",[0.9196],"[0.9299, 0.7289]","[0.722, 0.6664]",[0.9179]
7S7Q:A_7S7Q:B,"[0.9324, 0.8886]","[0.4991, 0.8008]","[0.9543, 0.8681]","[0.9475, 0.963]","[0.4667, 0.9296]","[0.9663, 0.9502]"
7SH4:A_7SH4:B,"[0.938, 0.9]","[0.8296, 0.8345]","[0.9268, 0.9586]","[0.9665, 0.9239]","[0.9294, 0.8983]","[0.9704, 0.9663]"
7UL4:A_7UL4:D,"[0.9714, 0.7816]","[0.6302, 0.1915]","[0.9706, 0.4637]","[0.9804, 0.9653]","[0.9182, 0.8113]","[0.9772, 0.4928]"
8EHE:A_8EHE:B,"[0.9836, 0.9597]","[0.8851, 0.8058]","[0.9849, 0.9787]","[0.9589, 0.9897]","[0.2814, 0.9498]","[0.9746, 0.9768]"
8G4K:A_8G4K:B,"[0.9639, 0.9431]","[0.9209, 0.8192]","[0.9033, 0.9018]","[0.9821, 0.9552]","[0.9519, 0.8595]","[0.9584, 0.9096]"
8ODR:A_8ODR:B,"[0.989, 0.9315]","[0.7569, 0.4404]","[0.9871, 0.9785]","[0.9857, 0.9069]","[0.8258, 0.3938]","[0.9849, 0.973]"
8QVX:A_8QVX:B,"[0.466, 0.9163]","[0.3988, 0.4813]",[0.8578],"[0.7656, 0.9411]","[0.7686, 0.9388]",[0.884]
9CQI:A_9CQI:B,"[0.9839, 0.9035]","[0.9088, 0.3198]","[0.98, 0.9064]","[0.9848, 0.8594]","[0.8181, 0.2003]","[0.9819, 0.9025]"
9K3E:B_9K3E:C,"[0.9249, 0.9728]","[0.7406, 0.9515]","[0.9329, 0.937]","[0.959, 0.9838]","[0.896, 0.9759]","[0.9374, 0.9544]"
8EZG:A_8EZG:B,"[0.8879, 0.9615]","[0.4076, 0.7223]","[0.9016, 0.9702]","[0.8797, 0.9778]","[0.3903, 0.7996]","[0.8804, 0.9757]"
7F61:A_7F61:B,"[0.9555, 0.9623]","[0.4007, 0.4128]","[0.9581, 0.9623]","[0.9723, 0.9657]","[0.3721, 0.4217]","[0.9755, 0.9679]"
7OV9:A_7OV9:C,"[0.9898, 0.9675]","[0.9375, 0.8297]","[0.9883, 0.9696]","[0.9906, 0.968]","[0.9525, 0.8147]","[0.9891, 0.9691]"
7ULA:B_7ULA:A,"[0.8626, 0.9645]","[0.8885, 0.2471]","[0.9099, 0.9743]","[0.8524, 0.979]","[0.9468, 0.4787]","[0.9004, 0.98]"
7WJQ:A_7WJQ:B,"[0.9823, 0.8114]","[0.8181, 0.7035]","[0.972, 0.8134]","[0.9914, 0.7567]","[0.8056, 0.7246]","[0.9853, 0.7662]"
7XDD:A_7XDD:B,"[0.8191, 0.9844]","[0.7952, 0.8948]","[0.7758, 0.9825]","[0.9486, 0.9891]","[0.9114, 0.9212]","[0.9223, 0.9882]"
8B14:A_8B14:B,"[0.9828, 0.9045]","[0.3919, 0.3113]","[0.9816, 0.96]","[0.9838, 0.7442]","[0.3935, 0.3527]","[0.9811, 0.8423]"
8BZR:A_8BZR:B,"[0.9637, 0.9207]","[0.6852, 0.6285]","[0.9909, 0.9579]","[0.9604, 0.9089]","[0.349, 0.6259]","[0.9898, 0.9384]"
8GTG:A_8GTG:B,"[0.9207, 0.9448]","[0.353, 0.6022]","[0.922, 0.9192]","[0.9178, 0.9156]","[0.1974, 0.5467]","[0.9189, 0.8765]"
8HSB:A_8HSB:B,"[0.9547, 0.8405]","[0.8147, 0.8013]","[0.9648, 0.8173]","[0.9685, 0.8691]","[0.9274, 0.824]","[0.9683, 0.8272]"
9CU8:A_9CU8:B,"[0.9586, 0.8331]","[0.9206, 0.7959]","[0.7983, 0.7722]","[0.9573, 0.8392]","[0.9437, 0.8985]","[0.7911, 0.7399]"
9GNB:A_9GNB:B,"[0.9606, 0.9822]","[0.8815, 0.9426]","[0.7095, 0.9787]","[0.9677, 0.9849]","[0.9121, 0.9519]","[0.8188, 0.9879]"
7XJP:A_7XJP:B,"[0.9842, 0.7272]","[0.9122, 0.6697]","[0.9822, 0.7253]","[0.9845, 0.7543]","[0.905, 0.6906]","[0.9828, 0.7409]"
7UM4:A_7UM4:B,"[0.9138, 0.9756]","[0.4822, 0.4045]","[0.9306, 0.9809]","[0.9162, 0.9808]","[0.4854, 0.4909]","[0.9291, 0.9839]"
8AIN:A_8AIN:B,"[0.9904, 0.3729]","[0.9124, 0.3692]","[0.9873, 0.3025]","[0.9904, 0.3414]","[0.9169, 0.2892]","[0.988, 0.3678]"
8B2Q:A_8B2Q:I,"[0.9834, 0.9132]","[0.9385, 0.6676]","[0.9655, 0.8637]","[0.9757, 0.9625]","[0.9373, 0.6868]","[0.9676, 0.9602]"
8BJ8:A_8BJ8:B,"[0.9889, 0.5048]","[0.9768, 0.4927]",[0.9775],"[0.9963, 0.9735]","[0.9949, 0.9697]",[0.99]
8CD0:A_8CD0:C,"[0.9772, 0.9531]","[0.2134, 0.6926]","[0.9741, 0.932]","[0.9659, 0.9588]","[0.2218, 0.7647]","[0.9612, 0.9312]"
8CUV:A_8CUV:B,"[0.99, 0.974]","[0.8416, 0.8772]","[0.9907, 0.9542]","[0.9889, 0.989]","[0.8602, 0.9175]","[0.9913, 0.9782]"
8EJM:A_8EJM:B,"[0.9734, 0.5921]","[0.8288, 0.5234]",[0.9699],"[0.9544, 0.7682]","[0.8306, 0.7059]",[0.9479]
8FHK:D_8FHK:C,"[0.8754, 0.852]","[0.8092, 0.7629]","[0.8047, 0.8222]","[0.8638, 0.8284]","[0.7858, 0.7258]","[0.8102, 0.8181]"
8PK5:A_8PK5:B,"[0.7107, 0.664]","[0.7043, 0.6415]","[0.6842, 0.7035]","[0.9568, 0.8986]","[0.9255, 0.9113]","[0.9493, 0.8246]"
8R7A:A_8R7A:B,"[0.8573, 0.7581]","[0.8353, 0.7196]","[0.3932, 0.8379]","[0.8579, 0.7512]","[0.8366, 0.7034]","[0.4137, 0.8641]"
9CYS:I_9CYS:A,"[0.988, 0.8894]","[0.9631, 0.4497]","[0.9776, 0.9451]","[0.9963, 0.9337]","[0.9902, 0.8394]","[0.9916, 0.9377]"
