target,Block MSA(AFM),AF3-predicted bound monomer(AFM),Experimentally-determined bound monomer(PDB)(AFM),AF3-predicted unbound monomer(AFM),Block MSA(AF3),AF3-predicted bound monomer(AF3),Experimentally-determined bound monomer(PDB)(AF3),AF3-predicted unbound monomer(AF3)
8EJM:A_8EJM:B,0.837,0.774,0.397,0.256,0.76,0.77,0.933,0.518
8FHK:D_8FHK:C,0.373,0.333,0.871,0.388,0.329,0.329,0.759,0.386
8PK5:A_8PK5:B,0.696,0.64,0.791,0.005,0.64,0.651,0.855,0.373
8R7A:A_8R7A:B,0.351,0.377,0.892,0.036,0.357,0.361,0.62,0.289
9CYS:I_9CYS:A,0.656,0.707,0.96,0.016,0.711,0.711,0.965,0.242
8S0L:A_8S0L:B,0.852,0.007,0.015,0.007,0.904,0.891,0.95,0.805
8Z8V:A_8Z8V:B,0.027,0.033,0.005,0.004,0.027,0.04,0.027,0.042
8H62:A_8H62:B,0.778,0.616,0.016,0.038,0.624,0.622,0.935,0.781
7LA5:A_7LA5:B,0.84,0.845,0.969,0.807,0.843,0.844,0.958,0.87
7N0E:B_7N0E:A,0.615,0.626,0.89,0.587,0.631,0.547,0.657,0.551
7PQ0:A_7PQ0:B,0.172,0.131,0.902,0.054,0.136,0.142,0.922,0.035
7VG7:A_7VG7:B,0.012,0.007,0.02,0.007,0.004,0.005,0.005,0.006
8B2R:A_8B2R:B,0.058,0.068,0.041,0.074,0.814,0.818,0.84,0.806
8DYE:A_8DYE:B,0.025,0.023,0.962,0.02,0.016,0.018,0.85,0.018
8TK9:A_8TK9:B,0.077,0.675,0.708,0.171,0.69,0.686,0.78,0.216
8U7B:B_8U7B:C,0.832,0.899,0.92,0.74,0.898,0.902,0.848,0.694
9ERV:A_9ERV:B,0.011,0.026,0.925,0.012,0.016,0.015,0.895,0.008
8RCI:A_8RCI:E,0.01,0.148,0.01,0.011,0.911,0.892,0.914,0.772
7Q1U:A_7Q1U:B,0.144,0.051,0.024,0.012,0.047,0.052,0.912,0.121
9E9G:A_9E9G:B,0.828,0.844,0.88,0.7,0.833,0.862,0.833,0.839
Mean,0.5148,0.5079,0.6233,0.305,0.5861,0.5628,0.7332,0.436
